ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
1994,Jul,"10,046",-,-,"8,345",-,"8,748","9,855","10,232","10,625",-,"6,805"
1994,Ago,"10,101",-,-,"8,482",-,"9,179","9,950","10,275","11,000",-,"6,805"
1994,Sep,"10,129",-,-,"8,875",-,"9,604","9,955","10,216","10,875","9,250","7,026"
1994,Oct,"10,229",-,-,"8,970",-,"9,969","10,062","10,282","10,875",-,"7,057"
1994,Nov,"10,071",-,-,"9,019",-,"10,287","9,784","10,304","11,000",-,"7,114"
1994,Dic,"10,255",-,-,"9,445",-,"10,531","10,115","10,378","10,875","9,750","7,755"
1995,Ene,"10,831",-,-,"10,422",-,"10,793","10,343","10,432","11,250",-,"8,071"
1995,Feb,"10,610",-,-,"9,942",-,"10,976","10,631","10,584","11,375",-,"8,132"
1995,Mar,"10,875",-,-,"10,506",-,"11,187","10,913","10,806","11,625","10,000","8,599"
1995,Abr,"10,997",-,-,"10,409",-,"11,327","10,943","11,014","11,750",-,"9,049"
1995,May,"11,186",-,-,"10,300",-,"11,416","11,356","11,006","11,875",-,"9,187"
1995,Jun,"11,155",-,-,"10,363",-,"11,468","11,265","11,026","11,875","10,250","8,921"
1995,Jul,"11,217",-,-,"10,272",-,"11,388","11,328","11,028","11,875",-,"9,183"
1995,Ago,"11,385",-,-,"9,982",-,"11,287","11,560","11,151","12,125",-,"9,235"
1995,Sep,"11,303",-,-,"9,572",-,"11,011","11,422","11,166","12,125","10,250","9,245"
1995,Oct,"11,156",-,-,"9,634",-,"10,828","11,222","11,037","12,125",-,"8,986"
1995,Nov,"11,135",-,-,"9,430",-,"10,653","11,236","11,018","11,875",-,"9,080"
1995,Dic,"11,010",-,-,"9,136",-,"10,365","11,157","10,803","11,750","9,750","8,977"
1996,Ene,"10,810",-,-,"8,659",-,"9,997","10,733","10,834","11,625",-,"8,714"
1996,Feb,"10,561",-,-,"8,473",-,"9,695","10,507","10,598","11,500",-,"8,714"
1996,Mar,"10,284",-,-,"8,365",-,"9,470","10,152","10,364","11,250","9,250","8,346"
1996,Abr,"10,045",-,-,"7,585",-,"9,129","9,985","10,064","11,000",-,"7,664"
1996,May,"9,729",-,-,"7,419",-,"8,820","9,541","9,897","10,750",-,"7,363"
1996,Jun,"9,392",-,-,"7,276",-,"8,592","9,133","9,644","10,625","8,250","7,956"
1996,Jul,"9,195",-,-,"7,201",-,"8,364","9,009","9,369","10,250",-,"7,361"
1996,Ago,"9,057",-,-,"7,269",-,"8,172","8,957","9,143","10,375",-,"7,342"
1996,Sep,"8,938",-,-,"6,975",-,"7,916","8,813","9,053","10,000","7,750","7,368"
1996,Oct,"8,813",-,-,"6,668",-,"7,654","8,740","8,905","9,875",-,"7,231"
1996,Nov,"8,444",-,-,"6,388",-,"7,397","8,289","8,649","9,500",-,"7,200"
1996,Dic,"8,174",-,-,"5,994",-,"7,098","8,025","8,345","9,250","7,250","5,750"
1997,Ene,"7,867",-,-,"5,491",-,"6,738","7,573","8,255","9,000",-,"5,598"
1997,Feb,"7,604",-,-,"5,580",-,"6,387","7,337","7,922","8,625",-,"5,469"
1997,Mar,"7,379",-,-,"5,788",-,"6,155","7,216","7,568","8,500","6,250","5,156"
1997,Abr,"7,195",-,-,"5,504",-,"5,981","7,068","7,355","8,250",-,"4,970"
1997,May,"7,104",-,-,"5,170",-,"5,815","6,971","7,266","8,000",-,"4,766"
1997,Jun,"6,820",-,-,"5,101",-,"5,680","6,717","6,949","7,875","5,750","4,454"
1997,Jul,"6,715",-,-,"5,125",-,"5,600","6,624","6,824","7,625",-,"4,240"
1997,Ago,"6,584",-,-,"5,211",-,"5,552","6,489","6,687","7,750",-,"4,211"
1997,Sep,"6,518",-,-,"4,990",-,"5,410","6,463","6,580","7,625","5,500","4,252"
1997,Oct,"6,509",-,-,"4,985",-,"5,282","6,384","6,662","7,500",-,"4,097"
1997,Nov,"6,385",-,-,"4,807",-,"5,230","6,252","6,537","7,375",-,"3,963"
1997,Dic,"6,255",-,-,"4,623",-,"5,167","6,196","6,328","7,250","5,500","3,972"
1998,Ene,"6,115",-,-,"4,421",-,"5,086","5,988","6,268","7,375",-,"4,401"
1998,Feb,"5,980",-,-,"4,325",-,"4,947","5,879","6,099","7,125",-,"4,050"
1998,Mar,"5,896",-,-,"4,161",-,"4,823","5,827","5,978","7,000","5,000","3,988"
1998,Abr,"5,776",-,-,"4,215",-,"4,707","5,659","5,906","6,750",-,"3,974"
1998,May,"5,700",-,-,"4,220",-,"4,613","5,603","5,817","7,000",-,"3,904"
1998,Jun,"5,636",-,-,"4,191",-,"4,547","5,545","5,744","6,750","4,750","3,871"
1998,Jul,"5,592",-,-,"4,137",-,"4,508","5,513","5,690","6,750",-,"3,864"
1998,Ago,"5,628",-,-,"4,066",-,"4,464","5,572","5,697","6,875",-,"3,851"
1998,Sep,"5,548",-,-,"3,830",-,"4,374","5,439","5,680","6,750","4,750","3,845"
1998,Oct,"5,495",-,-,"3,635",-,"4,245","5,428","5,575","6,625",-,"3,734"
1998,Nov,"5,296",-,-,"3,618",-,"4,055","5,176","5,440","6,375",-,"3,517"
1998,Dic,"5,150",-,-,"3,240",-,"3,865","5,052","5,265","6,125","4,250","3,484"
1999,Ene,"5,131",-,"3,062","3,065",-,"3,658","5,015","5,262","6,375",-,"3,191"
1999,Feb,"4,950",-,"3,030","3,035",-,"3,513","4,787","5,147","6,125",-,"3,157"
1999,Mar,"4,816",-,"3,046","3,031",-,"3,435","4,654","5,007","6,000","4,000","3,792"
1999,Abr,"4,787",-,"2,759","2,709",-,"3,349","4,599","4,997","5,875",-,"3,867"
1999,May,"4,644",-,"2,683","2,656",-,"3,272","4,454","4,861","5,875",-,"3,874"
1999,Jun,"4,502",-,"2,836","2,780",-,"3,310","4,296","4,733","5,625","3,500","3,895"
1999,Jul,"4,435",-,"3,030","3,018",-,"3,442","4,263","4,626","5,625",-,"4,109"
